amount,result,time
5,1,2e-06
6,1,2e-06
7,1,3e-06
8,2,2e-06
9,3,3e-06
10,2,5e-06
11,2,6e-06
12,2,8e-06
13,2,1.2e-05
14,2,1.6e-05
15,3,2.4e-05
16,3,3.5e-05
17,3,5.1e-05
18,3,9.3e-05
19,3,0.00014
20,3,0.000155
21,3,0.000228
22,4,0.000337
23,4,0.000493
24,4,0.000816
25,4,0.001246
26,4,0.001581
27,4,0.002284
28,4,0.00334
29,5,0.004992
30,5,0.008345
31,5,0.012554
32,5,0.019337
33,5,0.025099
34,5,0.033764
35,5,0.04883
36,6,0.06818
37,6,0.095661
38,6,0.139676
39,6,0.194125
40,6,0.263118
41,6,0.440932
42,6,0.634299
43,7,0.800822
44,7,1.1501
