amount,result,time
100,0,2e-06
200,29,5.5e-05
300,43,6.7e-05
400,58,8.6e-05
500,0,1e-06
600,0,1e-06
700,0,1e-06
800,115,0.000186
900,129,0.000185
1000,0,2e-06
1100,43,1e-06
1200,172,0.000316
1300,0,1e-06
1400,43,1e-06
1500,215,0.000505
1600,0,2e-06
1700,43,1e-06
1800,258,0.000668
1900,0,2e-06
2000,43,2e-06
2100,300,0.000735
2200,0,1e-06
2300,43,1e-06
2400,343,0.000867
2500,0,1e-06
2600,43,1e-06
2700,386,0.000941
2800,0,1e-06
2900,43,1e-06
3000,429,0.000684
3100,0,0
3200,43,1e-06
3300,472,0.000704
3400,0,1e-06
3500,43,1e-06
3600,515,0.000788
3700,0,1e-06
3800,43,1e-06
3900,558,0.000823
4000,0,1e-06
4100,43,1e-06
4200,600,0.000914
4300,0,1e-06
4400,43,1e-06
4500,643,0.000943
4600,0,1e-06
4700,43,0
4800,686,0.00096
4900,0,1e-06
5000,43,1e-06
5100,729,0.000962
5200,0,1e-06
5300,43,1e-06
5400,772,0.001008
5500,0,1e-06
5600,43,1e-06
5700,815,0.001067
5800,0,1e-06
5900,43,0
6000,858,0.001315
6100,0,1e-06
6200,43,1e-06
6300,900,0.001424
6400,0,2e-06
6500,43,1e-06
6600,943,0.001712
6700,0,2e-06
6800,0,1e-06
6900,986,0.001645
7000,1000,0.001579
7100,0,1e-06
7200,43,1e-06
7300,1043,0.001514
7400,0,1e-06
7500,43,1e-06
7600,1086,0.001458
7700,0,1e-06
7800,43,0
7900,1129,0.001737
8000,0,1e-06
8100,43,1e-06
8200,1172,0.001806
8300,0,1e-06
8400,43,2e-06
8500,1215,0.002041
8600,0,2e-06
8700,43,1e-06
8800,1258,0.002427
8900,0,1e-06
9000,43,1e-06
9100,1300,0.00201
9200,0,1e-06
9300,43,1e-06
9400,1343,0.001973
9500,0,2e-06
9600,43,1e-06
9700,1386,0.002126
9800,0,2e-06
9900,43,2e-06
10000,1429,0.002286
10100,0,1e-06
10200,43,1e-06
10300,1472,0.002187
10400,0,1e-06
10500,43,1e-06
10600,1515,0.002406
10700,0,1e-06
10800,43,1e-06
10900,1558,0.002344
11000,0,1e-06
11100,43,1e-06
11200,1600,0.002607
11300,0,1e-06
11400,43,1e-06
11500,1643,0.002413
11600,0,1e-06
11700,43,1e-06
11800,1686,0.00257
11900,0,1e-06
12000,43,0
12100,1729,0.003203
12200,0,2e-06
12300,43,2e-06
12400,1772,0.003182
12500,0,1e-06
12600,43,1e-06
12700,1815,0.00346
12800,0,2e-06
12900,43,2e-06
13000,1858,0.003751
13100,1872,0.003043
13200,1059,2e-06
13300,1900,0.003493
13400,1915,0.003518
13500,86,1e-06
13600,1943,0.002873
13700,1958,0.002745
13800,86,1e-06
13900,1986,0.0027
14000,2000,0.003187
14100,86,1e-06
14200,2029,0.003243
14300,2043,0.003142
14400,86,1e-06
14500,2072,0.00268
14600,2086,0.00268
14700,86,1e-06
14800,0,1e-06
14900,2129,0.00297
15000,2143,0.003491
15100,0,1e-06
15200,43,1e-06
15300,2186,0.003247
15400,0,1e-06
15500,43,1e-06
15600,2229,0.00297
15700,0,1e-06
15800,43,1e-06
15900,2272,0.002983
16000,0,1e-06
16100,43,1e-06
