amount,result,time
2,0,4e-06
3,7.38344e-42,1e-06
4,-4.6111e-18,1e-06
5,0,1e-06
7,0.345268,1e-06
8,0.99902,4.1e-05
9,0.999398,3e-06
10,5.09092e-42,2e-06
11,0.999006,3e-06
12,0.997969,3e-06
13,0.99852,3e-06
14,4.5304e-42,1e-06
15,0.345268,1e-06
16,0.996564,3e-06
17,0.997277,4e-06
18,4.41829e-42,1e-06
19,0.996524,4e-06
20,0.99482,4e-06
21,0.995685,3e-06
22,3.40936e-42,1e-06
23,0.994763,4e-06
24,0.992751,4e-06
25,0.993758,5e-06
26,3.09547e-42,1e-06
27,0.992673,5e-06
28,0.99037,5e-06
29,0.99151,5e-06
30,2.73674e-42,2e-06
31,0.376518,1e-06
32,0.987691,6e-06
33,0.988956,5e-06
34,2.53495e-42,1e-06
35,0.987567,6e-06
36,0.984726,7e-06
37,0.986107,6e-06
38,6.29183e-43,1e-06
39,0.984577,6e-06
40,0.981488,6e-06
41,0.982978,6e-06
42,1.35926e-43,2e-06
43,0,1e-06
44,0,1e-06
45,0,1e-06
46,7.89225e-41,1e-06
47,0,1e-06
48,0,1e-06
50,7.83396e-41,1e-06
51,0,1e-06
52,0,1e-06
53,0,1e-06
54,7.77118e-41,1e-06
55,0,1e-06
56,0,1e-06
57,0,1e-06
58,7.70392e-41,1e-06
59,0,1e-06
60,0,1e-06
61,0,1e-06
62,7.63217e-41,1e-06
63,0.345268,2e-06
64,0,1e-06
65,0.958967,1.1e-05
67,0,1e-06
68,0,1e-06
69,0,1e-06
70,2.89368e-42,3e-06
71,0,2e-06
72,0,1e-06
73,0,1e-06
74,7.13892e-41,1e-06
75,0,1e-06
77,0,1e-06
78,7.04923e-41,1e-06
79,0,1e-06
80,0,1e-06
82,6.95506e-41,2e-06
83,0,1e-06
84,0,1e-06
85,0,1e-06
86,6.85641e-41,2e-06
87,0,1e-06
88,0,1e-06
89,0,1e-06
90,6.75328e-41,1e-06
91,0,2e-06
92,0,1e-06
93,0,1e-06
94,6.64566e-41,1e-06
95,0,1e-06
96,0,1e-06
97,0,1e-06
98,6.53355e-41,1e-06
99,0,1e-06
100,0,1e-06
101,0,1e-06
102,6.41697e-41,1e-06
103,0,1e-06
104,0,1e-06
105,0,1e-06
106,6.29589e-41,1e-06
107,0,1e-06
108,0,1e-06
109,0,1e-06
110,6.17034e-41,1e-06
111,0,2e-06
112,0,1e-06
113,0,1e-06
114,6.0403e-41,1e-06
115,0,1e-06
117,0,1e-06
118,5.90577e-41,1e-06
120,0,1e-06
121,0,1e-06
122,5.76676e-41,1e-06
124,0,1e-06
125,0,1e-06
126,5.62327e-41,1e-06
127,0.345268,1e-06
129,0.86447,1.4e-05
